review_batch,area_id,spatial_validation_zone,candidate_origin,experimental_reliability_score_v3,experimental_reliability_class_v3,experimental_reliability_label_v3,area_ha_raw,area_bin_raw,n_points,n_parts,n_points_bin,n_parts_bin,current_high_confidence_v2,identity_reference_match,strict_reference_match,large_polygon_flag,small_candidate_flag,complex_boundary_flag,reliability_model_version,reliability_model_status
very_high_top,df993041-addb-4266-9766-24dafadc0c66,north_calabria,added_candidate,0.9999894737914494,very_high,Affidabilità molto alta diagnostica,181.10583639513172,ge_5_00_ha,11405,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,7ede0586-3151-469c-8de9-4f3ce7a6be28,central_calabria,added_candidate,0.99998792188478,very_high,Affidabilità molto alta diagnostica,312.59848233903136,ge_5_00_ha,2130,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,17041a2c-a4d3-4fe0-bfc7-b319c7240d55,south_calabria,added_candidate,0.999987160624005,very_high,Affidabilità molto alta diagnostica,283.0776439640785,ge_5_00_ha,4398,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,607ee59c-77af-4834-8bb6-c65de3a7a985,south_calabria,added_candidate,0.9999814135871286,very_high,Affidabilità molto alta diagnostica,342.55366985208985,ge_5_00_ha,2806,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,f1d60a33-26d8-4f58-a9a6-880191e6af64,central_calabria,added_candidate,0.9999800410191049,very_high,Affidabilità molto alta diagnostica,253.9914750574876,ge_5_00_ha,3247,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,5146e1c9-0d31-48c8-bc98-1fae3a848a55,south_calabria,added_candidate,0.9999779104261292,very_high,Affidabilità molto alta diagnostica,307.4363985533214,ge_5_00_ha,4091,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,cdb1bc08-9404-4a01-82b7-0218292d337d,south_calabria,added_candidate,0.9999762204707634,very_high,Affidabilità molto alta diagnostica,318.18784241952255,ge_5_00_ha,2914,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,625807d0-b0e4-4674-b464-2a56cc1c5572,north_calabria,added_candidate,0.9999722432886586,very_high,Affidabilità molto alta diagnostica,177.9404292284653,ge_5_00_ha,6264,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,fe9ecb17-2e09-4575-acf2-a2615cb13aae,central_calabria,added_candidate,0.9999657461965276,very_high,Affidabilità molto alta diagnostica,240.75965298001663,ge_5_00_ha,2993,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,57c4d973-81a8-4d09-8118-d2fb38f40f44,north_calabria,added_candidate,0.9999650164122044,very_high,Affidabilità molto alta diagnostica,166.00158340561222,ge_5_00_ha,9108,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,a04554b9-e1cd-4208-ad3f-faa801e6ef2f,central_calabria,added_candidate,0.999945689639195,very_high,Affidabilità molto alta diagnostica,241.14278250929405,ge_5_00_ha,1927,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,cd85eb85-2a8c-43a2-b1eb-3947e581e6de,north_calabria,added_candidate,0.9999396034434713,very_high,Affidabilità molto alta diagnostica,228.08485662503978,ge_5_00_ha,3313,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,fb6edcd8-3348-47ff-856e-5eab78ecda34,south_calabria,added_candidate,0.999934731619931,very_high,Affidabilità molto alta diagnostica,290.0997776896022,ge_5_00_ha,3117,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,2681f8e3-3c22-410e-90a7-4a7349b9cefe,north_calabria,added_candidate,0.9999339824890978,very_high,Affidabilità molto alta diagnostica,175.90559880945708,ge_5_00_ha,8116,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,586ecf03-1f55-4617-98c7-dbb51cef301f,central_calabria,added_candidate,0.9999337849565548,very_high,Affidabilità molto alta diagnostica,277.4615259967278,ge_5_00_ha,2163,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,4f40e56c-4d17-4a0a-b44a-5f39e8b37be5,central_calabria,added_candidate,0.9999258785977899,very_high,Affidabilità molto alta diagnostica,211.33072656709078,ge_5_00_ha,3594,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,d261e6c5-bd0d-4a47-b6d7-f6d7ad55d033,south_calabria,added_candidate,0.9999228484647336,very_high,Affidabilità molto alta diagnostica,249.2485364956073,ge_5_00_ha,3460,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,87594a08-e25c-4880-97cc-90a69bfc7c88,north_calabria,added_candidate,0.9999200427414191,very_high,Affidabilità molto alta diagnostica,161.97234670523298,ge_5_00_ha,8474,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,df937e8a-5567-4bc6-bf73-d60818551bff,south_calabria,added_candidate,0.9999190476867904,very_high,Affidabilità molto alta diagnostica,268.8771980036533,ge_5_00_ha,2371,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,30a711c3-2c9a-4f73-bc62-663318c149de,south_calabria,added_candidate,0.9999127860569152,very_high,Affidabilità molto alta diagnostica,237.89091386026217,ge_5_00_ha,3444,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
very_high_top,a02ad946-f616-40fd-8da0-a190665ef648,north_calabria,added_candidate,0.9999038971009483,very_high,Affidabilità molto alta diagnostica,193.6229858697136,ge_5_00_ha,6608,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,82d44ff5-deba-4614-aebc-3833048cfe98,north_calabria,current_high_confidence,0.8499261728568348,high,Alta affidabilità diagnostica,14.146552484200566,ge_5_00_ha,179,1,101_250,singlepart,True,False,False,True,False,False,regional_reliability_score_exp_v3,experimental
high_top,9edbdebb-1846-4810-87d5-242bbc17471c,central_calabria,added_candidate,0.8496127023115717,high,Alta affidabilità diagnostica,32.00849505125354,ge_5_00_ha,328,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,612037e0-fa55-426b-9535-76b9f16779eb,central_calabria,added_candidate,0.8495360504538079,high,Alta affidabilità diagnostica,29.319337185851996,ge_5_00_ha,687,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,445e2e70-5bd1-43b0-aed3-e2805cf62318,north_calabria,added_candidate,0.8495276111926588,high,Alta affidabilità diagnostica,22.71150771512113,ge_5_00_ha,1639,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
