evaluation,feature_set,held_out_zone,test_n,positive_n,negative_n,best_c,best_l1_ratio,precision,recall,specificity,f1,accuracy,roc_auc,brier,tn,fp,fn,tp
leave_one_zone_out,geometry,central_calabria,95,77,18,0.1,0.0,0.8472222222222222,0.7922077922077922,0.3888888888888889,0.8187919463087249,0.7157894736842105,0.6818181818181819,0.20745358446856788,7,11,16,61
leave_one_zone_out,geometry,north_calabria,263,208,55,1.0,0.0,0.7903225806451613,0.23557692307692307,0.7636363636363637,0.362962962962963,0.34600760456273766,0.6052447552447553,0.3743562134635763,42,13,159,49
leave_one_zone_out,geometry,south_calabria,48,34,14,0.1,1.0,0.8205128205128205,0.9411764705882353,0.5,0.8767123287671232,0.8125,0.73109243697479,0.1804389942630554,7,7,2,32
leave_one_zone_out,spectral,central_calabria,95,77,18,10.0,0.75,0.9743589743589743,0.4935064935064935,0.9444444444444444,0.6551724137931034,0.5789473684210527,0.8715728715728716,0.2743711066257602,17,1,39,38
leave_one_zone_out,spectral,north_calabria,263,208,55,1.0,0.75,0.8506787330316742,0.9038461538461539,0.4,0.8764568764568764,0.7984790874524715,0.7715034965034965,0.1511558556401302,22,33,20,188
leave_one_zone_out,spectral,south_calabria,48,34,14,1.0,1.0,0.8275862068965517,0.7058823529411765,0.6428571428571429,0.7619047619047619,0.6875,0.7857142857142857,0.20066910769908083,9,5,10,24
leave_one_zone_out,combined,central_calabria,95,77,18,1.0,0.25,0.9464285714285714,0.6883116883116883,0.8333333333333334,0.7969924812030075,0.7157894736842105,0.8744588744588745,0.19069119992374095,15,3,24,53
leave_one_zone_out,combined,north_calabria,263,208,55,1.0,0.5,0.8875,0.6826923076923077,0.6727272727272727,0.7717391304347826,0.6806083650190115,0.7851398601398601,0.1994241063585214,37,18,66,142
leave_one_zone_out,combined,south_calabria,48,34,14,1.0,1.0,0.8571428571428571,0.8823529411764706,0.6428571428571429,0.8695652173913043,0.8125,0.8802521008403361,0.126546333883269,9,5,4,30
