metric,mean_difference,median_difference,ci_2_5,ci_97_5,probability_difference_below_zero
brier_difference_balanced_minus_unweighted,-0.0004572973911727268,-0.0004896599064663013,-0.0023348094259243815,0.0014507717752388198,0.689
auc_difference_balanced_minus_unweighted,-0.0006604659085592932,-0.0005974003692730268,-0.008329163870577166,0.006633738933757808,0.5625
log_loss_difference_balanced_minus_unweighted,0.001801675672274651,0.0016141069840256428,-0.0058127050062544774,0.010458230832640376,0.333
