iteration,brier_difference_balanced_minus_unweighted,auc_difference_balanced_minus_unweighted,log_loss_difference_balanced_minus_unweighted
1,-0.0015754821341652514,0.005080469176213964,-0.004571941029303805
2,-0.0007745981071305558,0.004217791411042948,-0.0020805014652799936
3,-0.0006408393508541416,0.00044365572315863133,0.002614850588327944
4,-0.0012995372581457998,-0.0012237003118461542,-0.0006660689048235136
5,-0.0024947449239664243,0.003699526280171561,-0.006851804336181877
6,-0.0015632792292494813,0.005771873568483743,-0.005493848035415139
7,-0.0010549756730128812,0.004625312395091119,-0.0011934811434541337
8,-0.001604591998791649,0.0002858776443682709,-0.0006579144286681382
9,-0.0001399924431871591,-0.0018431219650513198,0.00311777537689073
10,-0.002177460799041561,0.00011091393078976886,-0.004845889159623307
11,0.00030294223261759234,-0.002129059729802929,0.007383715654574019
12,-0.00014965927322152517,-0.0012678076935910276,0.0029591599055744933
13,-0.0006770597936151118,8.8055298727574e-05,-0.003201372581590922
14,-0.00015594439286864548,-0.0021088957055215296,0.001757373479172375
15,-0.0014306065125432033,0.0060003488574916775,-0.0041682072415896165
16,-0.00032034348077350505,-0.00010809642200837466,-0.0009410125678213088
17,8.19933438109266e-05,-0.004837687251860068,0.0037980467248080463
18,-0.0012982629441203042,0.006103382433169546,-0.0033919227826080256
19,-0.0019237919763895606,0.002061218179944202,-0.004395934447042449
20,-9.705510586009714e-05,-0.012806748466257845,0.006842293578776637
21,0.00017815279881673585,-0.0007056451612903469,0.0014880974583394435
22,-0.0009776737731017338,0.0,0.0019075004413406926
23,3.597840261743146e-06,-0.001769045468232533,0.004023210114965425
24,0.0008353157182693083,-0.004294478527607226,0.005282867743481912
25,-0.000993008012692892,0.012308039747064181,-0.0024278845280936157
26,0.0003544276374656541,-0.007798275447456149,0.010529290219344734
27,0.00042167292512430843,0.0008459214501510548,0.0011014448510688335
28,0.0015831086791946725,2.220446049250313e-16,0.009601512143447899
29,-0.0011940517306012477,0.0017809139784946693,-0.0023295529729053244
30,-0.0016210329193120099,0.0052168576104746345,-0.005104167505421198
31,-0.0009091462375361847,-0.00015337423312877796,-0.0020163519550731035
32,0.0010469961278236906,-0.006539451114922823,0.010069377578600103
33,-0.001452453312164495,0.0006134969325154449,-0.0023864252112110185
34,-0.0013670473781398212,0.0051687763713081925,-0.0036375960706235833
35,0.0007077348603604094,-0.0025916327286190644,0.004504297178002381
36,-0.0016309082514930906,-0.00041390728476808913,0.0029875473506866257
37,-0.002278183336909795,0.0036848345028676066,-0.005319105435849958
38,-0.0016913909969539231,0.0032696093150502703,-0.005867069746906761
39,-0.0012548013492002519,0.0022380543847215773,-0.004584330178885654
40,-0.002132424073061648,-0.001769045468232422,0.0008938446779836462
41,-0.000894468679034352,0.004930743751881961,0.0032963240401140403
42,-0.0017597098114934262,-0.0007728494623655546,0.00035936430876076786
43,0.0006466347435349629,-0.007819455734912606,0.011623448891391108
44,0.0016035899196514825,-0.0006025591039592326,0.00540507188830891
45,0.0007929575787484766,-0.005276938569989897,0.00776910473385134
46,-0.0005975012775431277,0.0006087987439522546,-0.00019099050945725615
47,-0.0002927550471612944,-0.000721747388414018,0.0013392768027618573
48,-0.0013057391994641954,0.007278492415234261,-0.006134977143973319
49,0.00045627208213822046,-0.0026388125343593805,0.0028167278850876887
50,-0.0006681113190597637,0.0020157595748580004,-0.0010071869011779033
51,-0.0012490586020059147,-0.0009010688540889156,0.0008890379398418524
52,-0.0013078100411360732,0.001176959291055213,3.0003266580758137e-05
53,-0.001387681220339762,-0.0011593016912165854,-0.0017927606567630372
54,-0.00011552896831652781,-0.0029315196998124238,0.003968984211084214
55,-0.0007057323097314633,-0.0018582046883932613,0.00014977033681107255
56,-4.245801584779052e-05,-0.004027401385125029,0.0014446950410287318
57,-0.0005454984007064873,-0.0010932944606413253,0.00013250577644480233
58,-0.0003479524587576416,-0.0019396471334254262,0.0009759581015096885
59,-0.001582727838306236,0.006395348837209491,-0.002928857568254062
60,2.2047634995525645e-05,-0.0006329113924049556,0.0033740094750185357
61,-0.0001408102038870651,-0.0006734484103072536,0.002726439701006167
62,0.0008108803304735374,-0.002109704641350185,0.005740962117773196
63,-0.0006468354750690103,0.0005751533742330839,-0.0006778016242357521
64,0.0007278067574656988,0.0007383966244723927,0.006677481281604725
65,-0.002025048166904783,0.003179532682638153,-0.0024371176889025348
66,5.3301153100676624e-05,-0.006853582554517179,0.008071521450426333
67,0.000156590066156842,-0.0019238036346147513,0.0056930094623439675
68,0.0012627838095463917,-0.002634748569708023,0.011036136247251471
69,-6.53029814957351e-05,-0.0013295346628680038,0.000767772896180241
70,0.0009501080503181436,-0.0012211006186908513,0.004412807211780612
71,-0.001260767721864342,0.0007842334969995202,0.0017896701062307119
72,-0.0014439407637978907,-0.000517598343685366,-0.0018608555209638777
73,-0.002501101822688756,-0.0014064697609000865,-0.0028805199359790423
74,-0.0023899583246242972,0.0023206751054851704,-0.0026284268331422944
75,0.0005549951329049951,0.002468888666466329,8.442730536378784e-05
76,-0.00028716107200853214,-0.006611197110423017,0.0063688057021787925
77,-0.0022104432567441323,-0.0003723134202063827,-0.0014190041657144992
78,-0.0006686796533067613,-0.0011163439734868108,0.0012100027701386629
79,-0.001432605407865259,-0.00410949113779302,0.004694587131655048
80,-7.286125079566941e-05,0.001526162790697616,0.004126421463248209
81,-0.0003762405201232638,-0.0007728494623656657,-0.0008941598469724421
82,0.0004712722618145926,-0.00018325087044179789,0.0018649620630434849
83,-0.00034652214498573364,-0.001258945136496381,-0.0011753810010950994
84,-0.0008401543680806728,-0.00038989118491472574,0.0031474949643249817
85,0.00045747632078034506,-0.002221399481673325,0.00041054580992705425
86,-0.0014060115068014883,0.0028982542280415746,-0.004311616481734615
87,-0.00013501382797959094,-0.0009811046511627453,-0.00101043261549566
88,-0.0015515921902957003,0.0036554408529362314,-0.0025531275292494104
89,-0.0015838347885274023,-0.00336724205153649,0.002027933713848129
90,-0.00030817172804349646,-0.006575246132208168,0.003862043717447361
91,-0.0003670360237530701,-0.0030731846769581628,0.001767632439592215
92,0.0003151867162725225,-0.0007961783439492942,-0.0004714775022391926
93,-0.001205998969935243,0.0024156441717790855,-0.0014650964118126941
94,-0.00047598523700269346,-0.0024169184290030454,0.0027721555432175804
95,-0.0007229402945857777,-0.0003409710856518977,0.0019219005961683688
96,-0.00020232097395724014,-0.00630718954248366,0.0044910433651712545
97,-0.0021087415331113024,0.0004806305873306105,-0.002285949135562182
98,-0.0004761741533136077,0.004035599754981467,-0.002794619814269317
99,-0.0007349478155032341,-0.0028300600109111285,0.0021034608201208616
100,-0.0014030567745214884,-0.003225463438840226,0.00248291250955035
101,0.0003759347986913991,-0.0015954415954414491,0.006970526086778728
102,8.099560269253514e-05,0.004637206764866342,0.002203348825070006
103,-0.00033905742375330006,0.0034084661902142876,0.001668885939158038
