area_id,source_geometry_id,spatial_validation_zone,previous_evi_stddev,recomputed_evi_stddev,evi_median,evi_p25,evi_p75,n_observations,spectral_flag,usable_for_baseline_spectral,source_view,computed_at
386f499a-12e8-45f7-b6ed-45d01f918ff4,386f499a-12e8-45f7-b6ed-45d01f918ff4,central_calabria,1116674723.6024067,0.12990100427424342,0.44796585199664535,0.34818376554919517,0.5530599320772317,292,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:25:26.670960+00:00
0898a0c8-3aee-4b81-bd7b-0f7df5811cdf,0898a0c8-3aee-4b81-bd7b-0f7df5811cdf,south_calabria,963676029.928312,0.16169506309628534,0.31221169409529875,0.23793216906948547,0.4477342138946061,232,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:25:26.670960+00:00
f5db722a-9196-4fd5-881f-a1e3eed62deb,f5db722a-9196-4fd5-881f-a1e3eed62deb,south_calabria,925181050.1081631,0.09594133458105784,0.4627671845150659,0.4005648313325023,0.5344261629763077,236,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:29:53.565033+00:00
8c71f9d8-be5d-4afa-81ca-2a17331fef46,8c71f9d8-be5d-4afa-81ca-2a17331fef46,south_calabria,899548479.1736465,0.13392425512526765,0.37736324775479285,0.30671834823142774,0.5105025237989539,229,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:29:53.565033+00:00
160f952e-c5e7-444d-ae62-59ba79eb91cd,160f952e-c5e7-444d-ae62-59ba79eb91cd,central_calabria,644087081.3823501,0.10319958014952751,0.33969260809304047,0.2971184895339401,0.42926553283932084,105,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:29:53.565033+00:00
586ecf03-1f55-4617-98c7-dbb51cef301f,586ecf03-1f55-4617-98c7-dbb51cef301f,central_calabria,412623480.20749897,0.09799648278534527,0.4112497123405024,0.3449777114150073,0.48937204563664877,193,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:29:53.565033+00:00
335afe93-0a0d-4d7c-8fb3-34f661668365,335afe93-0a0d-4d7c-8fb3-34f661668365,north_calabria,107035442.96921085,0.12367580361365024,0.28256050110437425,0.2409699501801774,0.4266456127783815,523,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:29:53.565033+00:00
daa5b2de-e140-4147-b834-b752581e1977,daa5b2de-e140-4147-b834-b752581e1977,south_calabria,101889697.0915522,0.09816067111942622,0.4063062570324804,0.340372545338387,0.48349661890846357,216,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:17.450475+00:00
16a271ab-ae57-4802-87bc-82deb7c4c6ec,16a271ab-ae57-4802-87bc-82deb7c4c6ec,south_calabria,3.407186857297726,0.09186357750969784,0.3869028668821734,0.3320386576607068,0.45832529599636607,120,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:17.450475+00:00
4ba0f59d-47b3-4c8b-b96a-6186596b8d89,4ba0f59d-47b3-4c8b-b96a-6186596b8d89,central_calabria,2.76194815519188,0.10360392374904563,0.4342096348911627,0.3721810342195281,0.5080615029219245,108,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:17.450475+00:00
