model_name,fold_id,test_n,positive_n,negative_n,best_c,fixed_l1_ratio,precision,recall,specificity,f1,accuracy,roc_auc,brier,log_loss,tn,fp,fn,tp
combined_ridge,1,82,64,18,10.0,0.0,0.8461538461538461,0.859375,0.4444444444444444,0.8527131782945736,0.7682926829268293,0.828125,0.14034014326856623,0.4538129959094737,8,10,9,55
combined_ridge,2,81,64,17,1.0,0.0,0.8840579710144928,0.953125,0.5294117647058824,0.9172932330827067,0.8641975308641975,0.9136029411764707,0.08892092195823446,0.3026170822291179,9,8,3,61
combined_ridge,3,81,64,17,10.0,0.0,0.8533333333333334,1.0,0.35294117647058826,0.920863309352518,0.8641975308641975,0.8786764705882353,0.10709651826982694,0.3424171965778762,6,11,0,64
combined_ridge,4,81,64,17,3.0,0.0,0.8805970149253731,0.921875,0.5294117647058824,0.9007633587786259,0.8395061728395061,0.8823529411764706,0.1076390997956129,0.341625003191909,9,8,5,59
combined_ridge,5,81,63,18,3.0,0.0,0.8142857142857143,0.9047619047619048,0.2777777777777778,0.8571428571428571,0.7654320987654321,0.7601410934744267,0.15512869092103654,0.4776398711433135,5,13,6,57
combined_ridge,6,82,64,18,30.0,0.0,0.8115942028985508,0.875,0.2777777777777778,0.8421052631578947,0.7439024390243902,0.7282986111111112,0.16074923936956528,0.5203458424545576,5,13,8,56
combined_ridge,7,81,64,17,3.0,0.0,0.8529411764705882,0.90625,0.4117647058823529,0.8787878787878788,0.8024691358024691,0.7509191176470588,0.1574198118166232,0.5168793709362647,7,10,6,58
combined_ridge,8,81,64,17,3.0,0.0,0.8823529411764706,0.9375,0.5294117647058824,0.9090909090909091,0.8518518518518519,0.8805147058823529,0.10068875139193659,0.32376257078262144,9,8,4,60
combined_ridge,9,81,64,17,1.0,0.0,0.8356164383561644,0.953125,0.29411764705882354,0.8905109489051095,0.8148148148148148,0.9025735294117647,0.11448182043391057,0.35204020327604946,5,12,3,61
combined_ridge,10,81,63,18,10.0,0.0,0.8787878787878788,0.9206349206349206,0.5555555555555556,0.8992248062015504,0.8395061728395061,0.8968253968253969,0.10720574182234772,0.32779463925285923,10,8,5,58
