model_name,fold_id,test_n,positive_n,negative_n,best_c,best_l1_ratio,precision,recall,specificity,f1,accuracy,roc_auc,brier,log_loss,tn,fp,fn,tp
combined_balanced,1,82,64,18,10.0,0.0,0.96,0.75,0.8888888888888888,0.8421052631578947,0.7804878048780488,0.8428819444444444,0.16908304898574658,0.5777137578257828,16,2,16,48
combined_balanced,2,81,64,17,1.0,1.0,0.9615384615384616,0.78125,0.8823529411764706,0.8620689655172413,0.8024691358024691,0.9209558823529412,0.1447337594003942,0.4571317128225589,15,2,14,50
combined_balanced,3,81,64,17,1.0,0.5,0.9166666666666666,0.859375,0.7058823529411765,0.8870967741935484,0.8271604938271605,0.8704044117647058,0.12860224566263545,0.40790717936492155,12,5,9,55
combined_balanced,4,81,64,17,1.0,1.0,0.9454545454545454,0.8125,0.8235294117647058,0.8739495798319328,0.8148148148148148,0.8795955882352942,0.14388038987387405,0.4620934389498145,14,3,12,52
combined_balanced,5,81,63,18,1.0,1.0,0.8703703703703703,0.746031746031746,0.6111111111111112,0.8034188034188035,0.7160493827160493,0.7566137566137565,0.19102342217738366,0.5714895168611347,11,7,16,47
combined_balanced,6,82,64,18,10.0,1.0,0.8703703703703703,0.734375,0.6111111111111112,0.7966101694915254,0.7073170731707317,0.732638888888889,0.19844461048731293,0.609258372134017,11,7,17,47
combined_balanced,7,81,64,17,1.0,0.5,0.8653846153846154,0.703125,0.5882352941176471,0.7758620689655172,0.6790123456790124,0.7647058823529411,0.19928966301077963,0.6194163040176179,10,7,19,45
combined_balanced,8,81,64,17,1.0,0.25,0.9444444444444444,0.796875,0.8235294117647058,0.864406779661017,0.8024691358024691,0.895220588235294,0.1350653014602489,0.4255818857364227,14,3,13,51
combined_balanced,9,81,64,17,1.0,0.0,0.96,0.75,0.8823529411764706,0.8421052631578947,0.7777777777777778,0.895220588235294,0.1431129581059131,0.4672375768577226,15,2,16,48
combined_balanced,10,81,63,18,1.0,1.0,0.94,0.746031746031746,0.8333333333333334,0.831858407079646,0.7654320987654321,0.8862433862433863,0.15303076574601435,0.47313066640514595,15,3,16,47
combined_balanced,11,82,64,18,1.0,0.75,0.9272727272727272,0.796875,0.7777777777777778,0.8571428571428571,0.7926829268292683,0.8480902777777778,0.1533310263697263,0.46622797349963047,14,4,13,51
combined_balanced,12,81,64,17,1.0,1.0,0.9491525423728814,0.875,0.8235294117647058,0.9105691056910569,0.8641975308641975,0.8612132352941178,0.13633351925317025,0.4523365649167804,14,3,8,56
