iteration,brier_difference_balanced_minus_unweighted,auc_difference_balanced_minus_unweighted,log_loss_difference_balanced_minus_unweighted
1,0.027750462164880377,0.005966993998908876,0.07427073047659116
2,0.04733688337367481,-0.0031058282208590304,0.14921332204349752
3,0.03477625300229979,0.003660159716060374,0.09382303045406581
4,0.03758230807507079,0.0053684916906802105,0.11971775598473028
5,0.05662566825514542,0.005684637942702464,0.15746609459797456
6,0.015608337352511742,0.009833562375935245,0.0403075657225192
7,0.04262074993231746,0.00548323324256772,0.12232889468614
8,0.029391113245297085,0.0027515723270441494,0.10587936996184882
9,0.023100277461766475,0.011625846241094528,0.07109960304410157
10,0.031162098342057964,-0.00025879917184257195,0.09441580963555202
11,0.03680271612913849,-0.0014709867224094175,0.12675150549853453
12,0.02785011837936363,-0.0004003603242918041,0.08926859257438358
13,0.04525970597223766,-0.002949852507374673,0.13679729140724256
14,0.0389521632611617,-0.005943251533742311,0.1138576603951007
15,0.04184729214057922,0.00607012035583443,0.10919073143196101
16,0.026752319189765394,0.0055489496630994894,0.08389611166234823
17,0.020722440674281334,0.00897474393620945,0.06638184968632793
18,0.020924233323200328,-0.00027277686852145155,0.0707062253931196
19,0.03437454035277833,-0.001236730907966499,0.09146005736189566
20,0.035673378258761185,0.00889570552147223,0.09208458869796537
21,0.030046969378359475,0.005880376344086002,0.08421067621344175
22,0.035822816432685436,-0.001488675433310771,0.11322579551594741
23,0.039626912076269144,0.0011668172237278007,0.10535719102589891
24,0.04194345523100351,0.0031058282208589194,0.11450143532909113
25,0.03202455727457604,0.00447907256850355,0.10328118681889298
26,0.026454433530745863,0.006424129994159755,0.07965744733537145
27,0.039157181587628376,-0.0015709969788519906,0.13200063140957513
28,0.03618244408462212,0.00936177140996397,0.12047866793455358
29,0.027383956554497157,6.72043010752077e-05,0.08033423899046188
30,0.02018887500908513,0.0018071467539552133,0.07391104482296001
31,0.03819697513061812,0.0023773006134969465,0.11788675869249621
32,0.04150837850691899,-0.0013579188107489815,0.13514942789034656
33,0.04734557932381944,0.0031058282208589194,0.141640798906004
34,0.023447061238052402,0.0035864978902951927,0.07328398071087688
35,0.03644883824380764,-0.006129417088321265,0.12686787177418446
