population,feature,coefficient,mean_contribution,median_contribution,mean_absolute_contribution,intercept,population_n,mean_score,very_high_percent,training_mean_contribution,contribution_shift_vs_training,absolute_contribution_shift
all_calabria,log_perimeter_m,1.002005504198885,-0.4433680702113306,-0.6374529754320122,0.8122137251888558,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-8.969289460025895e-17,-0.4433680702113305,0.4433680702113305
all_calabria,ndvi_median,-1.4347931104362968,-0.3726214794159692,-0.39118137609909187,1.35689629303193,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,8.750526302464288e-17,-0.3726214794159693,0.3726214794159693
all_calabria,ndvi_iqr,1.5554479091396838,-0.29470694068152453,-0.49494926123895167,1.380401654756219,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,2.275136838640715e-16,-0.29470694068152475,0.29470694068152475
all_calabria,log_n_points,-0.22038536521428279,0.2599369584137858,0.2757298342190649,0.3184605123739187,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-1.728228944736697e-16,0.25993695841378595,0.25993695841378595
all_calabria,ndmi_median,1.0608471746443235,0.23412022974934196,0.19786160541285097,0.937717476780259,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-1.400084208394286e-16,0.2341202297493421,0.2341202297493421
all_calabria,evi_iqr,-2.029594819720897,-0.21240576769170116,0.13162511668289034,1.6632349397751773,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-2.362642101665358e-16,-0.21240576769170091,0.21240576769170091
all_calabria,evi_median,0.6872378353652027,0.20431764237868283,0.16326925930266814,0.6051108821822461,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,5.687842096601788e-17,0.20431764237868277,0.20431764237868277
all_calabria,bsi_iqr,1.2312237797349315,-0.14536318938115497,-0.3098500779653496,1.0269155257225997,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,4.2877578882075013e-16,-0.1453631893811554,0.1453631893811554
all_calabria,log_area_ha,0.31391596495660273,-0.13334562987086016,-0.21465579155811684,0.24426003134216506,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-7.437947357094644e-17,-0.13334562987086007,0.13334562987086007
all_calabria,compactness_raw,0.346166038825335,0.11920658310516238,0.10495152303930913,0.2973855608936959,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-3.172065784643304e-17,0.11920658310516241,0.11920658310516241
all_calabria,bsi_stddev,1.8187351884986924,-0.09056017118930795,-0.30909990907050194,1.5372014590950285,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,4.375263151232144e-16,-0.0905601711893084,0.0905601711893084
all_calabria,ndvi_stddev,-0.7711695540501292,0.07848738091559067,0.19256936666393853,0.6786765821247419,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,1.4875894714189289e-16,0.07848738091559052,0.07848738091559052
all_calabria,ndmi_stddev,-0.9381368950849343,0.05378343862229087,0.17248198657520572,0.8124917940710937,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,-3.93773683610893e-17,0.05378343862229091,0.05378343862229091
all_calabria,ndmi_iqr,-0.3308261169615922,0.042159713078865145,0.08837089474946823,0.27968018355549773,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,7.437947357094644e-17,0.04215971307886507,0.04215971307886507
all_calabria,evi_stddev,-0.24938054213505823,-0.040249443078683715,0.0009827904046677241,0.20500576688713223,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,1.4766513135408485e-16,-0.04024944307868386,0.04024944307868386
all_calabria,bsi_median,0.15814365557089705,-0.0393673948944199,-0.027547697061495888,0.13989766561587058,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,1.367269734760045e-18,-0.0393673948944199,0.0393673948944199
