c,mean_neg_brier,sd_neg_brier,rank,mean_fit_time,std_fit_time,mean_brier
3.0,-0.12143487862576949,0.01822760091833036,1,0.26990236282348634,0.051647327214706704,0.12143487862576949
10.0,-0.12189168914084274,0.01893680743328911,2,0.4936660289764404,0.09031469937385427,0.12189168914084274
1.0,-0.12220903355685803,0.017366961744234136,3,0.15067370414733885,0.03145989053895308,0.12220903355685803
30.0,-0.12278037498316698,0.01944548021924384,4,0.7860108470916748,0.1681379980846763,0.12278037498316698
0.3,-0.12453924116112336,0.015758062090363577,5,0.09481770515441895,0.01952761297220811,0.12453924116112336
0.1,-0.12810203233657383,0.013638428344138705,6,0.07562782764434814,0.058265608704366006,0.12810203233657383
